Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2004/2005,Boston Celtics,27.1,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,+0.9,93.3,.357,.192,.551,.501,14.7,27.2,.273,.481,14.2,70.1,.274,"656,081","16,002"
2004/2005,Cleveland Cavaliers,26.5,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,+0.9,89.7,.325,.135,.518,.470,13.0,32.5,.244,.485,14.1,71.5,.248,"784,249","19,128"
2004/2005,Indiana Pacers,28.3,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,+0.9,87.2,.358,.255,.534,.476,14.1,26.4,.283,.472,13.6,71.3,.261,"696,764","16,994"
2004/2005,Washington Wizards,25.3,45,37,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,.364,.220,.523,.474,12.9,31.1,.264,.498,14.6,70.0,.230,"705,069","17,197"
2004/2005,Philadelphia 76ers,26.4,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,.326,.216,.528,.475,14.2,25.4,.257,.485,15.4,72.7,.267,"732,686","17,870"
2004/2005,Los Angeles Clippers,25.5,37,45,39,43,-0.77,0.30,-0.47,105.5,106.4,-0.9,89.1,.357,.105,.533,.477,14.9,30.3,.278,.480,13.0,71.3,.235,"696,181","16,980"
2004/2005,New Jersey Nets,27.8,42,40,36,46,-1.50,-0.32,-1.82,101.4,103.1,-1.7,89.1,.318,.187,.512,.463,13.7,25.5,.242,.479,15.2,73.2,.278,"618,681","15,090"
2004/2005,Toronto Raptors,27.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,.316,.253,.539,.492,12.5,23.7,.244,.499,13.4,71.1,.240,"703,388","17,156"
2004/2005,Golden State Warriors,26.7,34,48,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,.278,.252,.512,.475,12.3,27.8,.201,.491,13.9,69.7,.227,"670,368","16,350"
2004/2005,Orlando Magic,26.5,36,46,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,.350,.137,.529,.478,14.6,29.9,.265,.484,13.2,71.3,.255,"597,942","14,584"
2004/2005,New York Knicks,27.3,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,.312,.188,.531,.485,13.8,28.3,.239,.501,13.8,71.2,.265,"800,144","19,516"
